route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
A12,A,102,БАЛКАНКАР АД - Ж.К. ОВЧА КУПЕЛ-2 - БАЛКАНКАР АД,,3,,BE1E2D,FFFFFF,,,
A63,A,66,ХОТЕЛ МОРЕНИ - ЗООПАРКА - ХОТЕЛ МОРЕНИ,,3,,BE1E2D,FFFFFF,,,
A220,A,184,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 1 - ПЛ. ОРЛОВ МОСТ - ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 1,,3,,BE1E2D,FFFFFF,,,
A117,A,22ТМ,БУЛ. ХРИСТО БОТЕВ - Ж.К. ЗАПАДЕН ПАРК - БУЛ. ХРИСТО БОТЕВ,,3,,BE1E2D,FFFFFF,,,
A49,A,28,КМЕТСТВО СВЕТОВРАЧАНЕ - Село Локорско - КМЕТСТВО СВЕТОВРАЧАНЕ,,3,,BE1E2D,FFFFFF,,,
A45,A,23,ГАРА КУРИЛО - АВТОСТАНЦИЯ ОРЛАНДОВЦИ - ГАРА КУРИЛО,,3,,BE1E2D,FFFFFF,,,
A94,A,79А,БУЛ. ИЛИЯНЦИ-ПОДЛЕЗА - УЛ. ТОДОРИНИ КУКЛИ - БУЛ. ИЛИЯНЦИ-ПОДЛЕЗА,,3,,BE1E2D,FFFFFF,,,
A249,A,X50,Парк музей Врана - СУ СВ. КЛИМЕНТ ОХРИДСКИ - Парк музей Врана,,3,,006838,FFFFFF,,,
A81,A,76,УМБАЛ СВ. АННА - Ж.К. ГОЦЕ ДЕЛЧЕВ - УМБАЛ СВ. АННА,,3,,BE1E2D,FFFFFF,,,
A98,A,54,МЕТРОСТАНЦИЯ СЛИВНИЦА - ПЪТЕН ВЪЗЕЛ  КАЛОТИНА - МЕТРОСТАНЦИЯ СЛИВНИЦА,,3,,BE1E2D,FFFFFF,,,
A255,A,804,МЕТРОСТАНЦИЯ ГОРНА БАНЯ - ПЛ. СРЕД СЕЛО - МЕТРОСТАНЦИЯ ГОРНА БАНЯ,,3,,BE1E2D,FFFFFF,,,
A256,A,805,Метростанция Витоша - Студентски град - Метростанция Витоша,,3,,BE1E2D,FFFFFF,,,
A253,A,802,МЕТРОСТАНЦИЯ ГОРНА БАНЯ - МЕТРОСТАНЦИЯ ГОРНА БАНЯ - МЕТРОСТАНЦИЯ ГОРНА БАНЯ,,3,,BE1E2D,FFFFFF,,,
TB24,A,123,ЛИФТА СИМЕОНОВО - АВТОСТАНЦИЯ ГЕО МИЛЕВ - ЛИФТА СИМЕОНОВО,,11,,27AAE1,FFFFFF,,,
TB33,A,6,село Герман - АВТОСТАНЦИЯ ГЕО МИЛЕВ - село Герман,,11,,27AAE1,FFFFFF,,,
A55,A,85,ПЛ. СТОЧНА ГАРА - Ж.К. ВРЪБНИЦА-2 - ПЛ. СТОЧНА ГАРА,,3,,BE1E2D,FFFFFF,,,
A2,A,9,УЛ. ГЕН. ГУРКО - АВТОБАЗА ИСКЪР - УЛ. ГЕН. ГУРКО,,3,,BE1E2D,FFFFFF,,,
A58,A,280,СТУДЕНТСКИ ГРАД - СУ СВ.КЛИМЕНТ ОХРИДСКИ - СТУДЕНТСКИ ГРАД,,3,,BE1E2D,FFFFFF,,,
TM40,A,15,Ж.к. Бъкстон - Пл. Македония - Ж.к. Бъкстон,,0,,F7941D,FFFFFF,,,
A264,A,97,ХОТЕЛ АМБАСАДОР - МЕТРОСТАНЦИЯ ФР. ЖОЛИО-КЮРИ - ХОТЕЛ АМБАСАДОР,,3,,BE1E2D,FFFFFF,,,
A65,A,103,ВЗ. ЛЮЛИН - АВТОСТАНЦИЯ ОВЧА КУПЕЛ - ВЗ. ЛЮЛИН,,3,,BE1E2D,FFFFFF,,,
